date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:42:10	2737/2737	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226305f7ae-ab1%22	https://easebuzz.in/static/base/assets_aug_2021/img/navMenu/1PaymentGateway.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/navMenu/1PaymentGateway.svg	(from https://easebuzz.in/)
14:42:10	563/563	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226305f7ae-233%22	https://easebuzz.in/static/base/assets_aug_2021/img/navMenu/arrow-right.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/navMenu/arrow-right.svg	(from https://easebuzz.in/)
14:42:10	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2015%20Nov%202023%2009:12:06%20GMT	https://easebuzz.in/merchant/signup/	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/merchant/signup/index.html	(from https://easebuzz.in/)
14:42:10	3298/3298	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226305f7ae-ce2%22	https://easebuzz.in/static/base/assets_aug_2021/img/navMenu/2PaymentLink.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/navMenu/2PaymentLink.svg	(from https://easebuzz.in/)
14:42:10	3038/3038	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226305f7ae-bde%22	https://easebuzz.in/static/base/assets_aug_2021/img/navMenu/3Wire.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/navMenu/3Wire.svg	(from https://easebuzz.in/)
14:42:11	2945/2945	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226305f7ab-b81%22	https://easebuzz.in/static/base/assets_aug_2021/img/easebuzz/about/instacollect.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/easebuzz/about/instacollect.svg	(from https://easebuzz.in/)
14:42:11	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2015%20Nov%202023%2009:12:07%20GMT	https://easebuzz.in/insta-collect	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/insta-collect	(from https://easebuzz.in/)
14:42:11	226133/226133	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2009:12:07%20GMT	https://easebuzz.in/online-payment-gateway-India/	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/online-payment-gateway-India/index.html	(from https://easebuzz.in/)
14:42:11	2362/2362	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226305f7ae-93a%22	https://easebuzz.in/static/base/assets_aug_2021/img/navMenu/slices.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/navMenu/slices.svg	(from https://easebuzz.in/)
14:42:11	1813/1813	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226305f7ae-715%22	https://easebuzz.in/static/base/assets_aug_2021/img/navMenu/5Webstore.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/navMenu/5Webstore.svg	(from https://easebuzz.in/)
14:42:11	4148/4148	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226516a247-1034%22	https://easebuzz.in/static/base/assets_aug_2021/img/navMenu/international-payment-gateway.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/navMenu/international-payment-gateway.svg	(from https://easebuzz.in/)
14:42:12	3838/3838	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226305f7ae-efe%22	https://easebuzz.in/static/base/assets_aug_2021/img/navMenu/6EasyCollect.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/navMenu/6EasyCollect.svg	(from https://easebuzz.in/)
14:42:12	3011/3011	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226305f7ae-bc3%22	https://easebuzz.in/static/base/assets_aug_2021/img/navMenu/7FeesBuzz.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/navMenu/7FeesBuzz.svg	(from https://easebuzz.in/)
14:42:12	210957/210957	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202023%2009:12:08%20GMT	https://easebuzz.in/payment-links/	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/payment-links/index.html	(from https://easebuzz.in/)
14:42:12	1336/1336	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226305f7ae-538%22	https://easebuzz.in/static/base/assets_aug_2021/img/navMenu/8BuildBuzz.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/navMenu/8BuildBuzz.svg	(from https://easebuzz.in/)
14:42:12	3138/3138	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226305f7ae-c42%22	https://easebuzz.in/static/base/assets_aug_2021/img/navMenu/9SmartBilling.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/navMenu/9SmartBilling.svg	(from https://easebuzz.in/)
14:42:13	1777/1777	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226305f7ae-6f1%22	https://easebuzz.in/static/base/assets_aug_2021/img/navMenu/10Teller.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/navMenu/10Teller.svg	(from https://easebuzz.in/)
14:42:13	1899/1899	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226305f7ac-76b%22	https://easebuzz.in/static/base/assets_aug_2021/img/easebuzz/epos/epos.svg	C:/My%20Web%20Sites/https___easebuzz.in_/easebuzz.in/static/base/assets_aug_2021/img/easebuzz/epos/epos.svg	(from https://easebuzz.in/)
